City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
225,Campoverde,PE,2020-05-23 14:03:32,-8.48,-74.81,83.97,66,49,2.86
226,Zhanaozen,KZ,2020-05-23 14:03:32,43.3,52.8,86.13,25,0,15.14
227,Sikonge,TZ,2020-05-23 14:03:32,-5.63,32.77,78.8,50,40,13.87
228,Olafsvik,IS,2020-05-23 14:03:33,64.89,-23.71,47.95,61,100,12.03
229,Kaeo,NZ,2020-05-23 14:03:33,-35.1,173.78,57.99,3,100,1.01
230,Zlitan,LY,2020-05-23 14:03:33,32.47,14.57,73.33,49,0,16.75
231,Skara,SE,2020-05-23 14:03:33,58.39,13.44,62.6,59,100,9.17
232,Patitirion,GR,2020-05-23 13:59:31,39.15,23.87,71.6,43,20,12.75
233,Mitu,CO,2020-05-23 13:59:07,1.2,-70.17,73.69,98,100,1.36
234,Meadow Lake,US,2020-05-23 14:03:33,34.8,-106.54,62.01,20,40,4.7
235,Killybegs,IE,2020-05-23 14:03:33,54.63,-8.45,55.99,66,75,27.51
236,Santiago,CL,2020-05-23 14:02:03,-33.46,-70.65,63.0,56,18,3.36
237,Caldas Novas,BR,2020-05-23 14:00:09,-17.74,-48.62,76.75,72,81,4.68
238,Hohhot,CN,2020-05-23 14:03:34,40.81,111.65,55.4,62,0,6.71
239,Galesong,ID,2020-05-23 14:03:34,-5.32,119.37,80.6,94,20,1.12
240,Alyangula,AU,2020-05-23 14:03:34,-13.85,136.42,68.0,64,44,6.93
241,Tambacounda,SN,2020-05-23 14:03:34,13.75,-13.76,100.4,21,0,9.17
242,Buala,SB,2020-05-23 14:03:35,-8.14,159.59,81.59,80,83,4.32
243,Portland,US,2020-05-23 13:59:12,45.52,-122.68,51.01,90,67,1.48
244,Maracas,BR,2020-05-23 14:03:35,-13.44,-40.43,73.62,77,85,4.34
245,Payo,ID,2020-05-23 14:03:35,-3.75,103.64,75.99,93,81,2.42
